MEGR3241_GPS_Logger_McLaren_Atlas_Compatible
time,GPSmph,GPStrack,GPSlat,GPSlong,GPSalt,GPSsats
18:29:47.617,nan,nan,0.0,0.0,nan,sats
18:29:47.619,nan,nan,0.0,0.0,nan,sats
18:29:47.623,nan,nan,35.3026925,-80.718869667,nan,sats
18:29:47.726,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:47.737,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:47.818,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:47.912,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.011,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.015,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.117,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.219,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.315,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.414,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.461,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.517,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.618,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.727,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.816,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.871,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:48.917,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.017,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.114,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.215,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.261,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.314,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.411,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.516,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.613,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.661,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.728,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.816,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:49.912,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:50.013,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:50.061,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:50.115,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
18:29:50.215,0.013416,202.6769,35.3026922,-80.7188694,216.485,sats
