MEGR3241_GPS_Logger_McLaren_Atlas_Compatible
time,GPSmph,GPStrack,GPSlat,GPSlong,GPSalt,GPSsats
17:57:50.324,nan,nan,0.0,0.0,nan,sats
17:57:50.421,nan,nan,nan,nan,nan,sats
17:57:50.424,nan,nan,nan,nan,nan,sats
17:57:50.426,nan,nan,nan,nan,nan,sats
17:57:50.521,nan,nan,nan,nan,nan,sats
17:57:50.528,nan,nan,nan,nan,nan,sats
17:57:50.622,nan,nan,nan,nan,nan,sats
17:57:50.721,nan,nan,nan,nan,nan,sats
17:57:50.820,nan,nan,nan,nan,nan,sats
17:57:50.863,nan,nan,nan,nan,nan,sats
17:57:50.923,nan,nan,nan,nan,nan,sats
17:57:51.022,nan,nan,nan,nan,nan,sats
17:57:51.120,nan,nan,nan,nan,nan,sats
17:57:51.221,nan,nan,nan,nan,nan,sats
17:57:51.262,nan,nan,nan,nan,nan,sats
17:57:51.323,nan,nan,nan,nan,nan,sats
17:57:51.420,nan,nan,nan,nan,nan,sats
17:57:51.522,nan,nan,nan,nan,nan,sats
17:57:51.620,nan,nan,nan,nan,nan,sats
17:57:51.663,nan,nan,nan,nan,nan,sats
17:57:51.723,nan,nan,nan,nan,nan,sats
17:57:51.822,nan,nan,nan,nan,nan,sats
17:57:51.920,nan,nan,nan,nan,nan,sats
17:57:52.021,nan,nan,nan,nan,nan,sats
17:57:52.063,nan,nan,nan,nan,nan,sats
17:57:52.124,nan,nan,nan,nan,nan,sats
17:57:52.221,nan,nan,nan,nan,nan,sats
17:57:52.320,nan,nan,nan,nan,nan,sats
17:57:52.420,nan,nan,nan,nan,nan,sats
17:57:52.462,nan,nan,nan,nan,nan,sats
17:57:52.524,nan,nan,nan,nan,nan,sats
17:57:52.621,nan,nan,nan,nan,nan,sats
17:57:52.720,nan,nan,nan,nan,nan,sats
17:57:52.819,nan,nan,nan,nan,nan,sats
17:57:52.862,nan,nan,nan,nan,nan,sats
17:57:52.924,nan,nan,nan,nan,nan,sats
17:57:53.022,nan,nan,nan,nan,nan,sats
17:57:53.120,nan,nan,nan,nan,nan,sats
17:57:53.221,nan,nan,nan,nan,nan,sats
17:57:53.262,nan,nan,nan,nan,nan,sats
17:57:53.326,nan,nan,nan,nan,nan,sats
17:57:53.422,nan,nan,nan,nan,nan,sats
17:57:53.522,nan,nan,nan,nan,nan,sats
17:57:53.622,nan,nan,nan,nan,nan,sats
17:57:53.673,nan,nan,nan,nan,nan,sats
17:57:53.723,nan,nan,nan,nan,nan,sats
17:57:53.823,nan,nan,nan,nan,nan,sats
17:57:53.922,nan,nan,nan,nan,nan,sats
17:57:54.020,nan,nan,nan,nan,nan,sats
17:57:54.062,nan,nan,nan,nan,nan,sats
17:57:54.120,nan,nan,nan,nan,nan,sats
17:57:54.221,nan,nan,nan,nan,nan,sats
17:57:54.319,nan,nan,nan,nan,nan,sats
17:57:54.421,nan,nan,nan,nan,nan,sats
17:57:54.462,nan,nan,nan,nan,nan,sats
17:57:54.522,nan,nan,nan,nan,nan,sats
17:57:54.623,nan,nan,nan,nan,nan,sats
17:57:54.722,nan,nan,nan,nan,nan,sats
17:57:54.821,nan,nan,nan,nan,nan,sats
17:57:54.862,nan,nan,nan,nan,nan,sats
17:57:54.923,nan,nan,nan,nan,nan,sats
17:57:55.023,nan,nan,nan,nan,nan,sats
17:57:55.121,nan,nan,nan,nan,nan,sats
17:57:55.221,nan,nan,nan,nan,nan,sats
17:57:55.262,nan,nan,nan,nan,nan,sats
17:57:55.322,nan,nan,nan,nan,nan,sats
17:57:55.422,nan,nan,nan,nan,nan,sats
17:57:55.519,nan,nan,nan,nan,nan,sats
17:57:55.621,nan,nan,nan,nan,nan,sats
17:57:55.662,nan,nan,nan,nan,nan,sats
17:57:55.722,nan,nan,nan,nan,nan,sats
17:57:55.823,nan,nan,nan,nan,nan,sats
17:57:55.921,nan,nan,nan,nan,nan,sats
17:57:56.021,nan,nan,nan,nan,nan,sats
17:57:56.063,nan,nan,nan,nan,nan,sats
17:57:56.123,nan,nan,nan,nan,nan,sats
17:57:56.222,nan,nan,nan,nan,nan,sats
17:57:56.321,nan,nan,nan,nan,nan,sats
17:57:56.420,nan,nan,nan,nan,nan,sats
17:57:56.462,nan,nan,nan,nan,nan,sats
17:57:56.529,nan,nan,nan,nan,nan,sats
17:57:56.622,nan,nan,nan,nan,nan,sats
17:57:56.721,nan,nan,nan,nan,nan,sats
17:57:56.820,nan,nan,nan,nan,nan,sats
17:57:56.863,nan,nan,nan,nan,nan,sats
17:57:56.920,nan,nan,nan,nan,nan,sats
17:57:57.022,nan,nan,nan,nan,nan,sats
17:57:57.120,nan,nan,nan,nan,nan,sats
17:57:57.221,nan,nan,nan,nan,nan,sats
17:57:57.272,nan,nan,nan,nan,nan,sats
17:57:57.323,nan,nan,nan,nan,nan,sats
17:57:57.423,nan,nan,nan,nan,nan,sats
17:57:57.520,nan,nan,nan,nan,nan,sats
17:57:57.621,nan,nan,nan,nan,nan,sats
17:57:57.663,nan,nan,nan,nan,nan,sats
17:57:57.722,nan,nan,nan,nan,nan,sats
17:57:57.822,nan,nan,nan,nan,nan,sats
17:57:57.919,nan,nan,nan,nan,nan,sats
17:57:58.020,nan,nan,nan,nan,nan,sats
17:57:58.062,nan,nan,nan,nan,nan,sats
17:57:58.121,nan,nan,nan,nan,nan,sats
17:57:58.219,nan,nan,nan,nan,nan,sats
17:57:58.318,nan,nan,nan,nan,nan,sats
17:57:58.419,nan,nan,nan,nan,nan,sats
17:57:58.462,nan,nan,nan,nan,nan,sats
17:57:58.522,nan,nan,nan,nan,nan,sats
17:57:58.621,nan,nan,nan,nan,nan,sats
17:57:58.721,nan,nan,nan,nan,nan,sats
17:57:58.821,nan,nan,nan,nan,nan,sats
17:57:58.863,nan,nan,nan,nan,nan,sats
17:57:58.923,nan,nan,nan,nan,nan,sats
17:57:59.022,nan,nan,nan,nan,nan,sats
17:57:59.121,nan,nan,nan,nan,nan,sats
17:57:59.220,nan,nan,nan,nan,nan,sats
17:57:59.263,nan,nan,nan,nan,nan,sats
17:57:59.323,nan,nan,nan,nan,nan,sats
17:57:59.422,nan,nan,nan,nan,nan,sats
17:57:59.521,nan,nan,nan,nan,nan,sats
17:57:59.618,nan,nan,nan,nan,nan,sats
17:57:59.662,nan,nan,nan,nan,nan,sats
17:57:59.723,nan,nan,nan,nan,nan,sats
17:57:59.823,nan,nan,nan,nan,nan,sats
17:57:59.920,nan,nan,nan,nan,nan,sats
17:58:00.021,nan,nan,nan,nan,nan,sats
17:58:00.062,nan,nan,nan,nan,nan,sats
17:58:00.125,nan,nan,nan,nan,nan,sats
17:58:00.219,nan,nan,nan,nan,nan,sats
17:58:00.316,nan,nan,nan,nan,nan,sats
17:58:00.416,nan,nan,nan,nan,nan,sats
17:58:00.463,nan,nan,nan,nan,nan,sats
17:58:00.519,nan,nan,nan,nan,nan,sats
17:58:00.617,nan,nan,nan,nan,nan,sats
17:58:00.717,nan,nan,nan,nan,nan,sats
17:58:00.816,nan,nan,nan,nan,nan,sats
17:58:00.862,nan,nan,nan,nan,nan,sats
17:58:00.919,nan,nan,nan,nan,nan,sats
17:58:01.022,nan,nan,nan,nan,nan,sats
17:58:01.115,nan,nan,nan,nan,nan,sats
17:58:01.216,nan,nan,nan,nan,nan,sats
17:58:01.263,nan,nan,nan,nan,nan,sats
17:58:01.320,nan,nan,nan,nan,nan,sats
17:58:01.431,nan,nan,nan,nan,nan,sats
17:58:01.517,nan,nan,nan,nan,nan,sats
17:58:01.615,nan,nan,nan,nan,nan,sats
17:58:01.619,nan,nan,nan,nan,nan,sats
17:58:01.718,nan,nan,nan,nan,nan,sats
17:58:01.818,nan,nan,nan,nan,nan,sats
17:58:01.917,nan,nan,nan,nan,nan,sats
17:58:02.016,nan,nan,nan,nan,nan,sats
17:58:02.063,nan,nan,nan,nan,nan,sats
17:58:02.120,nan,nan,nan,nan,nan,sats
17:58:02.217,nan,nan,nan,nan,nan,sats
17:58:02.316,nan,nan,nan,nan,nan,sats
17:58:02.426,nan,nan,nan,nan,nan,sats
17:58:02.429,nan,nan,nan,nan,nan,sats
17:58:02.517,nan,nan,nan,nan,nan,sats
17:58:02.617,nan,nan,nan,nan,nan,sats
17:58:02.715,nan,nan,nan,nan,nan,sats
17:58:02.815,nan,nan,nan,nan,nan,sats
17:58:02.818,nan,nan,nan,nan,nan,sats
17:58:02.917,nan,nan,nan,nan,nan,sats
17:58:03.018,nan,nan,nan,nan,nan,sats
17:58:03.115,nan,nan,nan,nan,nan,sats
17:58:03.215,nan,nan,nan,nan,nan,sats
17:58:03.218,nan,nan,nan,nan,nan,sats
17:58:03.317,nan,nan,nan,nan,nan,sats
17:58:03.429,nan,nan,nan,nan,nan,sats
17:58:03.515,nan,nan,nan,nan,nan,sats
17:58:03.615,nan,nan,nan,nan,nan,sats
17:58:03.617,nan,nan,nan,nan,nan,sats
17:58:03.717,nan,nan,nan,nan,nan,sats
17:58:03.815,nan,nan,nan,nan,nan,sats
17:58:03.915,nan,nan,nan,nan,nan,sats
17:58:04.015,nan,nan,nan,nan,nan,sats
17:58:04.017,nan,nan,nan,nan,nan,sats
17:58:04.117,nan,nan,nan,nan,nan,sats
17:58:04.216,nan,nan,nan,nan,nan,sats
17:58:04.315,nan,nan,nan,nan,nan,sats
17:58:04.427,nan,nan,nan,nan,nan,sats
17:58:04.429,nan,nan,nan,nan,nan,sats
17:58:04.517,nan,nan,nan,nan,nan,sats
17:58:04.617,nan,nan,nan,nan,nan,sats
17:58:04.715,nan,nan,nan,nan,nan,sats
17:58:04.815,nan,nan,nan,nan,nan,sats
17:58:04.818,nan,nan,nan,nan,nan,sats
17:58:04.917,nan,nan,nan,nan,nan,sats
17:58:05.017,nan,nan,nan,nan,nan,sats
17:58:05.115,nan,nan,nan,nan,nan,sats
17:58:05.214,nan,nan,nan,nan,nan,sats
17:58:05.216,nan,nan,nan,nan,nan,sats
17:58:05.317,nan,nan,nan,nan,nan,sats
17:58:05.429,nan,nan,nan,nan,nan,sats
17:58:05.515,nan,nan,nan,nan,nan,sats
17:58:05.615,nan,nan,nan,nan,nan,sats
17:58:05.617,nan,nan,nan,nan,nan,sats
17:58:05.716,nan,nan,nan,nan,nan,sats
17:58:05.817,nan,nan,nan,nan,nan,sats
17:58:05.914,nan,nan,nan,nan,nan,sats
17:58:06.015,nan,nan,nan,nan,nan,sats
17:58:06.017,nan,nan,nan,nan,nan,sats
17:58:06.117,nan,nan,nan,nan,nan,sats
17:58:06.216,nan,nan,nan,nan,nan,sats
17:58:06.314,nan,nan,nan,nan,nan,sats
17:58:06.427,nan,nan,nan,nan,nan,sats
17:58:06.429,nan,nan,nan,nan,nan,sats
17:58:06.516,nan,nan,nan,nan,nan,sats
