MEGR3241_GPS_Logger_McLaren_Atlas_Compatible
time,GPSmph,GPStrack,GPSlat,GPSlong,GPSalt,GPSsats
12:53:32.975,nan,nan,0.0,0.0,nan,sats
12:53:33.070,nan,nan,0.0,0.0,nan,sats
12:53:33.272,nan,nan,nan,nan,nan,sats
12:53:33.472,nan,nan,nan,nan,nan,sats
12:53:33.672,nan,nan,nan,nan,nan,sats
12:53:33.872,nan,nan,nan,nan,nan,sats
12:53:34.072,nan,nan,nan,nan,nan,sats
12:53:34.272,nan,nan,nan,nan,nan,sats
12:53:34.471,nan,nan,nan,nan,nan,sats
12:53:34.672,nan,nan,nan,nan,nan,sats
12:53:34.872,nan,nan,nan,nan,nan,sats
12:53:35.072,nan,nan,nan,nan,nan,sats
12:53:35.272,nan,nan,nan,nan,nan,sats
12:53:35.472,nan,nan,nan,nan,nan,sats
12:53:35.672,nan,nan,nan,nan,nan,sats
12:53:35.871,nan,nan,nan,nan,nan,sats
12:53:36.072,nan,nan,nan,nan,nan,sats
12:53:36.272,nan,nan,nan,nan,nan,sats
12:53:36.472,nan,nan,nan,nan,nan,sats
12:53:36.672,nan,nan,nan,nan,nan,sats
12:53:36.872,nan,nan,nan,nan,nan,sats
12:53:37.072,nan,nan,nan,nan,nan,sats
12:53:37.271,nan,nan,nan,nan,nan,sats
12:53:37.472,nan,nan,nan,nan,nan,sats
12:53:37.672,nan,nan,nan,nan,nan,sats
12:53:37.872,nan,nan,nan,nan,nan,sats
12:53:38.073,nan,nan,nan,nan,nan,sats
12:53:38.272,nan,nan,nan,nan,nan,sats
12:53:38.472,nan,nan,nan,nan,nan,sats
12:53:38.671,nan,nan,nan,nan,nan,sats
12:53:38.872,nan,nan,nan,nan,nan,sats
12:53:39.072,nan,nan,nan,nan,nan,sats
12:53:39.272,nan,nan,nan,nan,nan,sats
12:53:39.477,nan,nan,nan,nan,nan,sats
12:53:39.678,nan,nan,nan,nan,nan,sats
12:53:39.878,nan,nan,nan,nan,nan,sats
12:53:40.076,nan,nan,nan,nan,nan,sats
12:53:40.275,nan,nan,nan,nan,nan,sats
12:53:40.476,nan,nan,nan,nan,nan,sats
12:53:40.675,nan,nan,nan,nan,nan,sats
12:53:40.875,nan,nan,nan,nan,nan,sats
12:53:41.075,nan,nan,nan,nan,nan,sats
12:53:41.276,nan,nan,nan,nan,nan,sats
12:53:41.475,nan,nan,nan,nan,nan,sats
12:53:41.675,nan,nan,nan,nan,nan,sats
12:53:41.876,nan,nan,nan,nan,nan,sats
12:53:42.076,nan,nan,nan,nan,nan,sats
12:53:42.276,nan,nan,nan,nan,nan,sats
12:53:42.475,nan,nan,nan,nan,nan,sats
12:53:42.675,nan,nan,nan,nan,nan,sats
12:53:42.876,nan,nan,nan,nan,nan,sats
12:53:43.075,nan,nan,nan,nan,nan,sats
12:53:43.275,nan,nan,nan,nan,nan,sats
