MEGR3241_GPS_Logger_McLaren_Atlas_Compatible
time,GPSmph,GPStrack,GPSlat,GPSlong,GPSalt,GPSsats
19:36:40.329,nan,nan,0.0,0.0,nan,sats
19:36:40.422,nan,nan,nan,nan,nan,sats
19:36:40.425,nan,nan,nan,nan,nan,sats
19:36:40.623,nan,nan,nan,nan,nan,sats
19:36:40.823,nan,nan,nan,nan,nan,sats
19:36:41.023,nan,nan,nan,nan,nan,sats
19:36:41.223,nan,nan,nan,nan,nan,sats
19:36:41.422,nan,nan,nan,nan,nan,sats
19:36:41.623,nan,nan,nan,nan,nan,sats
19:36:41.823,nan,nan,nan,nan,nan,sats
19:36:42.023,nan,nan,nan,nan,nan,sats
19:36:42.223,nan,nan,nan,nan,nan,sats
19:36:42.423,nan,nan,nan,nan,nan,sats
19:36:42.623,nan,nan,nan,nan,nan,sats
19:36:42.822,nan,nan,nan,nan,nan,sats
19:36:43.023,nan,nan,nan,nan,nan,sats
19:36:43.225,nan,nan,nan,nan,nan,sats
19:36:43.425,nan,nan,nan,nan,nan,sats
19:36:43.627,nan,nan,nan,nan,nan,sats
19:36:43.825,nan,nan,nan,nan,nan,sats
19:36:44.027,nan,nan,nan,nan,nan,sats
19:36:44.224,nan,nan,nan,nan,nan,sats
19:36:44.426,nan,nan,nan,nan,nan,sats
19:36:44.627,nan,nan,nan,nan,nan,sats
19:36:44.826,nan,nan,nan,nan,nan,sats
19:36:45.027,nan,nan,nan,nan,nan,sats
19:36:45.226,nan,nan,nan,nan,nan,sats
19:36:45.427,nan,nan,nan,nan,nan,sats
19:36:45.625,nan,nan,nan,nan,nan,sats
19:36:45.827,nan,nan,nan,nan,nan,sats
19:36:46.027,nan,nan,nan,nan,nan,sats
19:36:46.227,nan,nan,nan,nan,nan,sats
19:36:46.426,nan,nan,nan,nan,nan,sats
19:36:46.626,nan,nan,nan,nan,nan,sats
19:36:46.826,nan,nan,nan,nan,nan,sats
19:36:47.027,nan,nan,nan,nan,nan,sats
19:36:47.226,nan,nan,nan,nan,nan,sats
